NO,AREA,DSGN_INDS,GHG_EMS_2016,ENG_CNSM_2016,GHG_EMS_2017,ENG_CNSM_2017,GHG_EMS_2018,ENG_CNSM_2018,GHG_EMS_2019,ENG_CNSM_2019,GHG_EMS_2020,ENG_CNSM_2020
1,강원도,건물,"32,321",640.7,"34,153",685,"29,185",585.7,"30,621",615.4,"23,649",472.7
2,강원도,광업,"188,294",514.3,"172,004",501.8,"206,624",622.5,"157,739",593.2,"35,191",628
4,강원도,발전에너지,"3,838,862","39,793.80","4,025,829","45,554.00","4,221,901","52,148.00","3,614,961","44,806.00","3,072,716","38,085.00"
6,강원도,시멘트,"827,522","4,487.60","1,898,766","10,045.00","1,453,305","7,944.00","1,417,415","7,742.00","95,497",576
8,강원도,제조업,"21,430",330.1,"21,467",342.7,"21,682",437.7,"19,514",394,"20,501",413
10,강원도,철강,"92,837","1,251.00","112,608","1,464.00","136,396","1,764.00","131,344","1,723.00","126,090","1,671.00"
11,강원도,통신,"39,357",810,"49,539","1,019.00","64,906","1,336.00","71,534","1,472.00","78,830","1,619.20"
12,강원도,폐기물,"111,170",355.8,"110,221",360,"105,394",402.3,"46,327",353,"61,092",432
13,경기도,건물,"20,753",422.5,"20,525",418,"24,098",498.5,"21,981",452.4,"19,263",398
14,경기도,교통,"52,684",900.4,"52,031",839.5,"44,939",733,"41,704",680.3,"31,849",531.6
15,경기도,기계,"44,628",888.7,"42,705",853.3,"24,632",498.8,"23,794",480.3,"13,152",264.2
16,경기도,디스플레이,"21,694",444,"5,048,146","80,861.00","5,199,329","82,222.00","4,790,723","79,917.00","4,407,465","73,523.00"
18,경기도,반도체,"861,743","14,623.00","867,858","14,128.00","1,004,877","15,598.70","1,059,787","16,516.00","16,614",339.8
19,경기도,발전에너지,"2,462,492","48,856.30","1,789,917","35,533.00","1,894,961","37,637.00","1,789,864","35,583.00","3,025,537","59,831.00"
20,경기도,비철금속,"31,167",623.9,"41,581",823.9,"42,114","84,266.00","40,917",808.4,"17,993",316.6
21,경기도,산업단지,"2,289,900","26,396.00","2,368,968","27,208.00","1,181,773","13,755.00","471,783","5,505.20","473,356","7,507.60"
22,경기도,석유화학,"185,066","3,051.00","170,796","2,714.90","178,945","2,882.40","158,648","2,559.70","17,762",356.2
23,경기도,섬유,"31,838",554.1,"29,156",522.3,"29,053",521.7,"21,637",349.6,"14,525",289.3
26,경기도,유리,"46,902",782,"50,518",856.4,"52,696",905.9,"50,063",881.4,"22,941",352
27,경기도,음식료품,"32,796",668.9,"38,220",802.3,"38,626",843.3,"37,510",826,"36,384",793
28,경기도,자동차,"51,410","1,039.60","51,652","1,035.00","51,044","1,032.00","51,721","1,047.00","19,369",333.3
29,경기도,전기전자,"140,827","2,848.30","139,838","2,824.80","155,412","3,176.00","153,823","3,149.90","21,189",432.8
31,경기도,제조업,"28,376",565.2,"31,782",633,"26,140",522.8,"27,433",548.4,"26,754",535.7
32,경기도,제지,"164,565","1,973.10","118,460","1,461.00","120,434","1,551.00","135,989","1,792.00","152,307","2,060.80"
33,경기도,조선,"417,831","7,021.00","482,339","7,779.00","263,861","4,476.00","326,926","5,428.00","32,392",584
34,경기도,집단에너지,"841,636","16,655.80","1,059,096","20,832.00","1,585,230","31,195.00","1,531,484","30,122.00","1,470,224","28,917.00"
35,경기도,철강,"19,243",360.5,"14,530",292.5,"14,879",297,"20,283",402,"27,649",544.1
36,경기도,통신,"373,855","7,648.30","564,030","11,538.00","381,179","7,803.00","391,193","8,010.70","19,429",399.5
37,경기도,폐기물,"140,248",707.3,"157,680",778.1,"154,455",816.1,"115,498",790.4,"119,289",826.2
38,경기도,하수처리업,"28,418",391,"30,310",391.7,"32,327",392.3,"18,819",262,"21,678",303
39,경상남도,건물,"18,546",379,"19,215",391,"19,282",392,"20,502",418,"21,874",446
40,경상남도,교통,"25,146",355,"25,884",366,"21,407",304.3,"20,184",286.7,"13,946",198.3
41,경상남도,기계,"53,169","1,035.80","48,983",956.6,"47,921",940.5,"48,429",945.9,"18,711",372.4
42,경상남도,반도체,"35,322",783,"39,375",870,"43,521",968,"48,140","1,066.00","53,249","1,173.90"
43,경상남도,발전에너지,"59,734,301","670,228.00","58,140,700","652,401.00","57,576,044","638,601.00","53,399,748","601,592.00","49,526,380","566,727.00"
44,경상남도,비철금속,"33,837",503,"35,371",525,"26,034",384,"22,796",337,"19,960",295.8
45,경상남도,산업단지,"195,786","2,821.00","189,551","2,776.00","169,106","2,963.00","106,048","1,851.00","111,694","2,058.70"
46,경상남도,석유화학,"49,062",964.8,"49,098",967.3,"49,310",972.8,"51,464","1,007.80","16,128",313.3
47,경상남도,요업,"27,152",479,"27,277",483,"24,922",437,"20,006",352,"16,059",283.5
49,경상남도,음식료품,"23,560",387.3,"25,355",506,"26,317",525,"27,775",555,"29,313",586.7
50,경상남도,자동차,"48,154",937.3,"49,915",980,"44,644",879,"41,671",823,"14,741",292.7
51,경상남도,전기전자,"67,681","1,320.00","69,384","1,352.00","71,263","1,387.00","73,827","1,438.00","76,483","1,490.90"
53,경상남도,제조업,"20,604",324.7,"21,429",315,"22,280",328,"16,007",362.3,"16,555",379
54,경상남도,제지,"128,426","2,287.70","145,749","2,478.00","142,576","2,478.00","119,884","1,884.00","48,676",372
55,경상남도,조선,"111,466","1,975.60","34,145",602,"18,836",337.2,"25,941",448,"35,726",595.2
56,경상남도,집단에너지,"137,364","2,712.00","166,883","3,300.00","208,252","4,105.00","201,215","3,956.00","194,415","3,812.40"
57,경상남도,철강,"122,044","2,146.70","108,253","1,935.20","112,378","2,007.70","107,855","1,944.90","17,947",348.8
58,경상남도,폐기물,"177,025",973.4,"159,439",895.2,"167,960",932,"118,650",931,"109,303",939.1
59,경상북도,건물,"107,105","2,183.70","117,612","2,390.00","121,522","2,475.00","124,079","2,529.00","119,404","2,427.70"
60,경상북도,교통,"14,140",231.8,"15,686",249.5,"17,400",268.6,"17,612",273.2,"16,775",265.5
61,경상북도,기계,"39,774",789.3,"32,667",653.5,"29,687",589.3,"35,110",695.7,"14,986",305
63,경상북도,반도체,"90,422","1,775.00","114,625","2,245.00","102,880","2,032.00","111,551","2,209.30","19,894",406
64,경상북도,발전에너지,"3,057,742","61,742.00","3,445,777","70,065.00","3,332,040","67,250.00","3,112,732","62,829.00","2,907,858","58,698.60"
65,경상북도,비철금속,"174,259","3,461.30","115,463","2,053.50","117,007","2,087.80","132,591","2,599.00","150,250","3,235.40"
66,경상북도,산업단지,"772,785","8,201.00","734,212","8,000.00","748,311","8,285.00","279,593","3,352.00","3,136,113","17,873.00"
67,경상북도,석유화학,"166,525","3,194.20","213,090","4,093.00","221,853","4,269.00","203,506","2,919.00","81,923","1,299.00"
68,경상북도,섬유,"189,036","3,541.30","258,826","4,762.00","194,017","3,849.30","240,118","4,769.30","15,283",303.5
69,경상북도,요업,"2,329,254","13,364.00","2,274,130","13,256.00","1,223,931","7,423.00","1,231,780","7,567.00","1,239,679","7,713.80"
70,경상북도,유리,"31,420",605.5,"66,917","1,302.00","65,765","1,282.00","61,450","1,196.00","10,545",208
72,경상북도,자동차,"15,663",317.5,"20,212",411.2,"24,005","48,483.00","20,028",402.3,"17,185",338.3
73,경상북도,전기전자,"46,832",951.5,"71,579","1,446.00","100,084","2,020.00","127,476","2,575.00","23,208",474.5
75,경상북도,제조업,"24,286",429.9,"23,800",417,"24,544",430,"21,236",373,"19,738",382.5
76,경상북도,제지,"83,004",461,"76,454",427,"81,370",431,"86,475",827,"91,900","1,586.80"
77,경상북도,철강,"3,436,774","20,281.70","3,818,656","21,894.00","3,893,184","21,899.00","4,838,643","25,895.00","16,157",303.3
78,경상북도,폐기물,"125,586",598.1,"143,212",730,"113,083",621,"110,245",815,"142,303","1,017.50"
80,광주광역시,건물,"23,443",466.7,"24,489",496,"24,570",497.3,"24,514",493.7,"23,069",466.3
81,광주광역시,교통,"76,917","1,174.30","75,242","1,155.30","71,965","1,108.30","68,391","1,067.00","48,275",758.7
82,광주광역시,기계,"12,462",249.9,"11,688",235,"10,962",221,"10,418",210,"9,901",199.5
83,광주광역시,반도체,"169,965","3,436.70","186,088","3,772.00","203,740","4,140.00","210,470","4,284.00","217,422","4,433.00"
86,광주광역시,석유화학,"312,105","6,001.00","299,495","5,814.00","261,768","5,268.00","251,038","5,065.00","240,747","4,869.80"
87,광주광역시,시멘트,"58,442","1,097.00","60,435","1,140.00","54,333","1,010.00","50,513",958,"46,962",908.7
91,광주광역시,집단에너지,"154,829","3,068.00","167,849","3,326.00","169,847","3,366.00","167,142","3,313.00","164,480","3,260.80"
92,광주광역시,폐기물,"432,530",942,"526,960",831,"247,354",762,"79,294",625,"84,127","74,366.00"
93,대구광역시,건물,"29,480",599.5,"30,767",625.5,"30,328",616.5,"31,112",634.5,"28,844",589
94,대구광역시,교통,"77,998","1,404.50","78,826","1,423.00","79,041","1,439.00","71,677","1,336.00","58,707","1,146.00"
95,대구광역시,기계,"92,757","1,703.00","99,064","1,827.00","104,965","1,948.00","102,635","1,898.00","100,356","1,849.30"
96,대구광역시,반도체,"26,167",529.7,"20,749",411,"18,886",375,"25,459",505.5,"34,320",681.4
97,대구광역시,발전에너지,"916,216","15,366.50","911,531","12,624.00","1,051,861","14,557.00","667,148","12,768.00","423,141","11,198.90"
98,대구광역시,비철금속,"40,914",828.5,"31,638",635,"31,534",633,"28,831",579,"26,359",529.6
99,대구광역시,산업단지,"837,758","9,601.00","805,395","9,097.00","806,162","9,053.00","758,628","8,530.00","76,806","1,094.00"
100,대구광역시,섬유,"240,921","4,829.00","237,242","4,758.00","225,470","4,524.00","204,865","4,127.00","186,143","3,764.80"
101,대구광역시,음식료품,"27,012",382,"24,774",411,"22,535",439,"10,193",484,"4,610",533.6
102,대구광역시,자동차,"28,708",583,"38,402",456,"24,220",489.4,"21,747",439,"18,164",369
103,대구광역시,전기전자,"51,400",737,"22,664",458.7,"54,588",763,"46,742",722,"41,537",831
105,대구광역시,제조업,"42,220",613.6,"49,791",724,"15,792",318,"16,786",338,"15,028",270.4
106,대구광역시,제지,"92,659",973.8,"15,532",313,"96,351","1,077.30","91,707","1,045.20","16,324",329
107,대구광역시,집단에너지,"892,316","17,750.10","872,669","17,370.00","853,454","16,998.00","922,598","18,366.00","997,343","19,844.10"
108,대구광역시,철강,"29,662",562,"34,413","17,370.00","33,743",639,"34,172",651,"34,606",663.2
109,대구광역시,폐기물,"1,290,483","4,715.00","1,352,164",642,"1,113,894","5,141.00","635,323","5,046.00","586,705","4,741.00"
110,대전광역시,건물,"34,006",689.6,"32,228",653,"34,263",696,36426,741.8,"27,172",552
111,대전광역시,교통,"558,796","10,527.70","554,075","10,458.00","575,960","10,908.00","418,123","7,910.00","397,944","7,604.50"
112,대전광역시,반도체,"64,551","1,328.50","72,907","1,501.00","57,839","1,191.00","20,485",421.5,"15,846",326
114,대전광역시,산업단지,"245,408","3,796.00","221,774","3,735.00","159,766","3,026.00","110,182","2,324.00","171,296","3,493.80"
115,대전광역시,수도,"651,687","13,363.00","720,687","14,783.00","739,276","15,164.00","727,449","14,927.00","715,811","14,693.70"
116,대전광역시,음식료품,"94,760","1,832.00","99,128","1,903.00","103,776","2,015.00","104,559","2,020.00","105,348","2,025.00"
117,대전광역시,자동차,"47,187",967.5,"47,370",972,"48,381",997,"44,432",917,"40,805",843.4
118,대전광역시,전기전자,"30,697",627,"32,971",674,"33,172",678,"33,123",677,"33,074",676
121,대전광역시,통신,"21,345",438.8,"20,919",430,"20,500",421.3,"19,390",399,"19,012",391
122,대전광역시,폐기물,"396,600",972.5,"373,494",944,"386,560","1,388.00","301,993","1,609.00","247,649","1,640.00"
123,부산광역시,건물,"20,821",424.5,"19,316",393.5,"18,903",385.5,"18,686",381.3,"17,174",350.7
124,부산광역시,교통,"60,886","1,117.30","43,234",746.6,"47,841",830.9,"44,390",764,"41,382",724.3
125,부산광역시,기계,"62,790","1,240.00","89,715","1,694.30","7,400","1,399.00","67,578","1,261.00","28,686",557.8
126,부산광역시,발전에너지,"22,355,865","245,194.00","36,512,472",454.6,"40,399,651","507,736.00","36,670,122","451,102.00","33,284,887","400,785.00"
127,부산광역시,산업단지,"193,804","2,768.00","187,627","2,690.00","106,001","1,593.00","96,762","1,469.00","129,743","2,398.60"
128,부산광역시,석유화학,"21,880",433.8,"22,213",364.2,"18,425",411,"14,099",388.5,"17,944",453.5
129,부산광역시,섬유,"22,746",560,"20,927",534,"20,182",483,"22,521",457,"15,876",369
132,부산광역시,자동차,"74,776","1,443.50","61,076","1,202.00","55,611","1,106.00","50,061",999,"18,812",385
134,부산광역시,조선,"17,260",288.2,"15,992",281,"14,817",274,"12,398",226,"10,754",208
135,부산광역시,집단에너지,"58,409","1,159.00","63,680","1,262.00","69,350","1,376.00","65,040","1,290.00","31,252",616
136,부산광역시,철강,"148,910","2,633.60","161,576","2,813.00","141,443","2,496.00","150,988","2,707.00","161,177","2,935.80"
137,부산광역시,폐기물,"704,896","4,572.50","687,762","5,593.00","657,308","5,533.50","496,091","4,242.00","490,116","4,125.00"
138,부산광역시,항공,"178,558","2,558.00","194,881","2,797.00","205,972","2,957.00","209,317","3,003.00","212,716","3,049.70"
139,서울특별시,건물,"102,998","2,009.60","100,488","1,961.80","97,123","1,893.90","96,197","1,877.00","88,451","1,732.70"
140,서울특별시,건설,"72,466","1,393.50","75,248","1,435.00","83,859","1,652.00","93,571","1,857.00","81,098","1,564.30"
141,서울특별시,광업,"77,991",188,"101,116",243,"131,654",314,"150,603",368,"172,279",431.3
142,서울특별시,교통,"101,730","1,792.30","103,610","1,826.00","74,317","1,322.00","71,552","1,286.00","43,940",747.8
144,서울특별시,디스플레이,"6,091,611","60,423.00","6,315,796","63,451.00","6,696,544","64,296.00","5,885,435","62,776.00","5,172,570","61,291.90"
145,서울특별시,목재,"49,022",975,"52,718","1,037.00","53,899","1,071.00","48,210",966,"43,121",871.3
146,서울특별시,반도체,"241,129","3,538.00","195,053","2,615.00","199,257","2,661.00","198,009","2,668.00","196,768","2,675.00"
147,서울특별시,발전에너지,"5,160,001","52,317.70","6,896,899","75,437.00","7,266,252","85,066.00","3,889,086","77,411.00","2,081,539","70,444.90"
148,서울특별시,비철금속,"995,026","15,020.20","970,512","14,320.00","1,273,029","18,475.00","1,279,131","18,653.00","1,285,262","18,832.70"
150,서울특별시,석유화학,"1,124,230","20,882.50","1,012,979","18,815.00","1,022,236","19,007.00","1,000,319","18,073.00","70,441","1,389.00"
151,서울특별시,섬유,"491,091","8,879.30","443,149","7,978.00","273,371","4,230.00","226,674","3,541.00","30,979",656
153,서울특별시,시멘트,"3,540,475","18,718.40","3,366,359","17,749.00","2,628,397","14,124.00","2,611,611","14,353.00","13,969",206
154,서울특별시,유리,"489,052","7,008.20","431,643","6,304.00","415,801","6,225.00","279,591","4,779.00","188,001","3,668.90"
155,서울특별시,음식료품,"158,410","3,204.90","177,530","3,621.00","181,840","3,688.00","199,094","3,656.00","217,985","3,624.30"
156,서울특별시,자동차,"433,214","8,780.00","510,050","10,273.00","517,088","10,423.00","826,508","16,770.00","13,211,081","26,982.00"
157,서울특별시,전기전자,"197,131","3,680.70","400,276","4,809.80","353,434","53,173.20","272,128","4,546.00","72,266","1,453.00"
159,서울특별시,정유,"5,995,505","75,858.50","5,860,949","71,669.00","6,101,179","76,297.00","6,269,310","80,386.00","6,442,074","84,694.10"
160,서울특별시,제조업,"69,428","1,364.00","52,766","1,064.00","54,217","1,103.40","61,173","1,252.80","77,476","1,587.70"
161,서울특별시,제지,"296,337","5,040.30","293,777","4,943.00","295,141","5,127.00","334,066","5,745.00","378,124","6,437.50"
162,서울특별시,조선,"381,640","6,706.80","405,217","7,146.00","430,250","7,614.00","444,610","7,749.00","459,449","7,886.40"
163,서울특별시,집단에너지,"270,132","5,862.00","152,503","3,234.00","183,717","3,636.00","157,474","3,631.00","133,979","3,626.00"
164,서울특별시,철강,"635,558","10,161.60","488,947","7,790.30","494,075","7,814.90","456,003","7,342.00","420,864","6,897.70"
165,서울특별시,통신,"316,786","6,517.30","294,332","6,053.10","305,680","6,288.00","501,668","10,319.00","823,314","16,934.00"
166,서울특별시,폐기물,"3,045,658","11,756.00","3,036,649","11,915.00","2,898,728","11,890.00","1,401,505","12,426.00","1,443,512","12,695.00"
